MonthYear,Description,TotalQuantitySold,AverageUnitPrice,TotalSales
2010-12,ROMANTIC IMAGES GIFT WRAP SET,54,2.1,113.4
2010-12,ROMANTIC IMAGES NOTEBOOK SET,5,6.36,25.47
2010-12,ROMANTIC IMAGES SCRAP BOOK SET,3,4.95,14.85
2010-12,ROMANTIC PINKS RIBBONS ,70,1.4,90.02
2010-12,ROSE 1 WICK MORRIS BOXED CANDLE,55,3.24,115.88
2010-12,ROSE 3 WICK MORRIS BOX CANDLE,409,3.79,584.24
2010-12,ROSE CARAVAN DOORSTOP,20,10.29,181.08
2010-12,ROSE COLOUR PAIR HEART HAIR SLIDES,2,3.78,7.56
2010-12,ROSE COTTAGE KEEPSAKE BOX ,136,12.94,1511.89
2010-12,ROSE DU SUD COSMETICS BAG,11,3.54,39.63
2010-12,ROSE DU SUD DRAWSTRING BAG,32,3.36,107.52
2010-12,ROSE DU SUD OVEN GLOVE,12,3.55,40.41
2010-12,ROSE DU SUD WASHBAG ,11,4.43,48.05
2010-12,ROSE FOLKART HEART DECORATIONS,47,1.81,63.79
2010-12,ROSE SCENT CANDLE IN JEWELLED BOX,71,4.18,288.55
2010-12,ROSE SCENT CANDLE JEWELLED DRAWER,9,5.3,42.47
2010-12,ROSES REGENCY TEACUP AND SAUCER ,479,4.2,1566.41
2010-12,ROTATING LEAVES T-LIGHT HOLDER,193,3.84,477.35
2010-12,ROTATING SILVER ANGELS T-LIGHT HLDR,2341,3.65,6732.01
2010-12,ROUND CAKE TIN VINTAGE GREEN,17,9.84,159.69
2010-12,ROUND CAKE TIN VINTAGE RED,59,10.11,522.49
2010-12,ROUND CONTAINER SET OF 5 RETROSPOT,9,2.87,26.82
2010-12,ROUND PINK HEART MIRROR,12,3.16,29.42
2010-12,ROUND SNACK BOXES SET OF 4 FRUITS ,1860,3.44,4829.1
2010-12,ROUND SNACK BOXES SET OF 4 SKULLS,68,4.37,303.64
2010-12,ROUND SNACK BOXES SET OF4 WOODLAND ,523,3.86,1643.77
2010-12,ROUND WHITE CONFETTI IN TUBE,1,1.65,1.65
2010-12,RUBY DROP CHANDELIER EARRINGS,2,4.24,8.48
2010-12,RUBY GLASS CLUSTER BRACELET,4,6.37,25.48
2010-12,RUBY GLASS CLUSTER EARRINGS,6,1.26,7.56
2010-12,RUSTIC  SEVENTEEN DRAWER SIDEBOARD,3,155.0,455.0
2010-12,S/12 MINI RABBIT EASTER,1,1.65,1.65
2010-12,S/12 VANILLA  BOTANICAL T-LIGHTS,22,3.44,67.86
2010-12,S/15 SILVER GLASS BAUBLES IN BAG,234,1.78,310.32
2010-12,S/3 POT POURI CUSHIONS BLUE COLOURS,12,2.1,25.2
2010-12,S/4 BLACK MINI ROSE CANDLE IN BOWL,17,1.66,28.18
2010-12,S/4 CACTI CANDLES,162,5.65,592.85
2010-12,S/4 GROOVY CAT MAGNETS,7,2.5,13.26
2010-12,S/4 IVORY MINI ROSE CANDLE IN BOWL,44,1.66,72.87
2010-12,S/4 PINK FLOWER CANDLES IN BOWL,14,2.5,36.78
2010-12,S/4 VALENTINE DECOUPAGE HEART BOX,332,2.54,501.55
2010-12,S/6 SEW ON CROCHET FLOWERS,21,1.56,28.77
2010-12,S/6 WOODEN SKITTLES IN COTTON BAG,79,4.12,283.37
2010-12,SALLE DE BAIN HOOK,51,2.02,78.87
2010-12,SANDALWOOD FAN,20,1.17,19.43
2010-12,SANDWICH BATH SPONGE,398,1.84,614.68
2010-12,SAVE THE PLANET COTTON TOTE BAG,77,3.37,209.78
2010-12,SAVE THE PLANET MUG,322,1.67,458.28
2010-12,SAVOY ART DECO CLOCK,10,18.41,178.46
2010-12,SCANDINAVIAN 3 HEARTS NAPKIN RING,29,3.28,39.89
2010-12,SCANDINAVIAN PAISLEY PICNIC BAG,13,3.44,41.31
2010-12,SCANDINAVIAN REDS RIBBONS,395,1.65,607.86
2010-12,SCENTED CANDLE IN DIGITALIS TIN,19,2.94,46.23
2010-12,SCENTED VELVET LOUNGE CANDLE ,41,1.5,53.77
2010-12,SCHOOL DESK AND CHAIR ,1,65.0,65.0
2010-12,SCOTTIE DOG HOT WATER BOTTLE,956,5.74,5246.9
2010-12,SCOTTIE DOGS BABY BIB,39,0.88,33.55
2010-12,SCOTTIES CHILDRENS APRON,105,1.66,174.11
2010-12,SCOTTIES DESIGN WASHBAG,17,1.88,30.54
2010-12,SEASIDE FLYING DISC,9,1.88,13.77
2010-12,SET 10 LIGHTS NIGHT OWL,95,9.91,772.09
2010-12,SET 12 KIDS  WHITE CHALK STICKS,70,0.6,34.13
2010-12,SET 12 KIDS COLOUR  CHALK STICKS,277,0.61,130.41
2010-12,SET 12 LAVENDER  BOTANICAL T-LIGHTS,45,3.2,135.71
2010-12,SET 12 RETRO WHITE CHALK STICKS,158,0.59,73.51
2010-12,SET 20 NAPKINS FAIRY CAKES DESIGN ,108,1.13,107.19
2010-12,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",114,8.81,729.6
2010-12,SET 3 WICKER OVAL BASKETS W LIDS,44,13.45,469.8
2010-12,SET 3 WICKER STORAGE BASKETS ,68,9.95,676.6
2010-12,SET 4 NURSERY DES ROUND BOXES,4,2.95,11.8
2010-12,SET 6 FOOTBALL CELEBRATION CANDLES,51,1.43,65.01
2010-12,SET 7 BABUSHKA NESTING BOXES,527,9.97,4341.32
2010-12,SET OF 12  VINTAGE POSTCARD SET,161,2.33,136.55
2010-12,SET OF 16 VINTAGE BLACK CUTLERY,3,19.82,59.45
2010-12,SET OF 16 VINTAGE PISTACHIO CUTLERY,22,17.32,327.08
2010-12,SET OF 16 VINTAGE RED CUTLERY,6,14.86,76.4
2010-12,SET OF 16 VINTAGE ROSE CUTLERY,20,16.99,267.44
2010-12,SET OF 16 VINTAGE SKY BLUE CUTLERY,11,19.35,191.11
2010-12,SET OF 2 CHRISTMAS DECOUPAGE CANDLE,78,1.66,110.71
2010-12,SET OF 2 ROUND TINS CAMEMBERT ,32,5.28,144.72
2010-12,SET OF 2 ROUND TINS DUTCH CHEESE,9,3.69,29.51
2010-12,SET OF 2 TEA TOWELS APPLE AND PEARS,105,3.94,342.31
2010-12,SET OF 2 TEA TOWELS PING MICROWAVE,12,2.51,30.12
2010-12,SET OF 2 TINS JARDIN DE PROVENCE,10,5.96,55.57
2010-12,SET OF 2 TINS VINTAGE BATHROOM ,34,7.14,216.24
2010-12,SET OF 2 WOODEN MARKET CRATES,11,15.3,152.99
2010-12,SET OF 20 KIDS COOKIE CUTTERS,426,2.83,966.65
2010-12,SET OF 20 VINTAGE CHRISTMAS NAPKINS,890,1.01,815.72
2010-12,SET OF 3 BABUSHKA STACKING TINS,265,4.95,1311.75
2010-12,SET OF 3 BIRD LIGHT PINK FEATHER ,39,1.98,62.61
2010-12,SET OF 3 BLACK FLYING DUCKS,28,6.47,141.13
2010-12,SET OF 3 BUTTERFLY COOKIE CUTTERS,411,1.98,688.71
2010-12,SET OF 3 CAKE TINS PANTRY DESIGN ,254,5.81,1407.67
2010-12,SET OF 3 CAKE TINS SKETCHBOOK,34,5.35,174.37
2010-12,SET OF 3 COLOURED  FLYING DUCKS,307,5.2,1452.35
2010-12,SET OF 3 CONEY ISLAND OVAL BOXES,7,6.69,39.87
2010-12,SET OF 3 GOLD FLYING DUCKS,4,6.35,25.4
2010-12,SET OF 3 HEART COOKIE CUTTERS,240,1.72,346.62
2010-12,SET OF 3 NOTEBOOKS IN PARCEL,286,2.29,589.89
2010-12,SET OF 3 PINK FLYING DUCKS,1,5.45,5.45
2010-12,SET OF 36 DINOSAUR PAPER DOILIES,15,2.69,26.72
2010-12,SET OF 36 DOILIES SPACEBOY DESIGN ,7,1.96,11.68
2010-12,SET OF 36 MUSHROOM PAPER DOILIES,7,1.45,10.15
2010-12,SET OF 36 PAISLEY FLOWER DOILIES,72,2.41,131.94
2010-12,SET OF 36 TEATIME PAPER DOILIES,64,2.3,125.61
2010-12,SET OF 4 BLACK LOVEBIRD COASTERS,51,1.97,67.64
2010-12,SET OF 4 CAROUSEL PLACEMATS ,25,4.44,37.62
2010-12,SET OF 4 DIAMOND NAPKIN RINGS,22,11.78,152.44
2010-12,SET OF 4 ENGLISH ROSE COASTERS,47,2.04,78.91
2010-12,SET OF 4 ENGLISH ROSE PLACEMATS,42,5.45,200.82
2010-12,SET OF 4 FAIRY CAKE PLACEMATS,11,4.98,48.21
2010-12,SET OF 4 FAIRY CAKE PLACEMATS ,114,2.27,156.72
2010-12,SET OF 4 GREEN CAROUSEL COASTERS,1,2.51,2.51
2010-12,SET OF 4 NAPKIN CHARMS 3 KEYS ,44,2.65,60.31
2010-12,SET OF 4 NAPKIN CHARMS CROWNS ,82,2.54,101.92
2010-12,SET OF 4 NAPKIN CHARMS CUTLERY,65,2.5,151.35
2010-12,SET OF 4 NAPKIN CHARMS HEARTS,88,3.11,227.57
2010-12,SET OF 4 NAPKIN CHARMS INSTRUMENT,38,2.95,46.63
2010-12,SET OF 4 NAPKIN CHARMS LEAVES   ,38,2.53,44.12
2010-12,SET OF 4 NAPKIN CHARMS STARS   ,44,2.96,102.82
2010-12,SET OF 4 PISTACHIO LOVEBIRD COASTER,37,2.19,50.72
2010-12,SET OF 4 POLKADOT COASTERS,10,2.51,25.1
2010-12,SET OF 4 POLKADOT PLACEMATS ,13,6.81,90.93
2010-12,SET OF 4 ROSE BOTANICAL CANDLES,65,3.36,100.25
2010-12,SET OF 6 3D KIT CARDS FOR KIDS,125,1.23,138.65
2010-12,SET OF 6 CAKE CHOPSTICKS,57,2.16,92.82
2010-12,SET OF 6 FUNKY BEAKERS,47,4.5,164.57
2010-12,SET OF 6 GIRLS CELEBRATION CANDLES,28,1.75,38.78
2010-12,SET OF 6 HALLOWEEN GHOST T-LIGHTS,4,0.85,3.4
2010-12,SET OF 6 HEART CHOPSTICKS,61,2.01,87.68
2010-12,SET OF 6 HERB TINS SKETCHBOOK,46,4.6,190.74
2010-12,SET OF 6 KASHMIR FOLKART BAUBLES,28,4.25,119.0
2010-12,SET OF 6 RIBBONS VINTAGE CHRISTMAS,117,4.98,680.5
2010-12,SET OF 6 SOLDIER SKITTLES,251,5.39,1071.12
2010-12,SET OF 6 SPICE TINS PANTRY DESIGN,267,4.58,1172.41
2010-12,SET OF 6 STRAWBERRY CHOPSTICKS,198,2.1,253.92
2010-12,SET OF 6 T-LIGHTS CACTI ,34,5.42,177.26
2010-12,SET OF 6 T-LIGHTS EASTER CHICKS,37,2.95,109.15
2010-12,SET OF 6 T-LIGHTS SANTA,88,3.41,271.44
2010-12,SET OF 6 T-LIGHTS SNOWMEN,189,3.64,576.83
2010-12,SET OF 6 T-LIGHTS TOADSTOOLS,59,4.58,206.61
2010-12,SET OF 6 T-LIGHTS WEDDING CAKE ,12,2.95,35.4
2010-12,SET OF 6 VINTAGE NOTELETS KIT,16,2.53,40.64
2010-12,SET OF 72 GREEN PAPER DOILIES,10,1.45,14.5
2010-12,SET OF 72 PINK HEART PAPER DOILIES,287,2.05,426.02
2010-12,SET OF 72 RETROSPOT PAPER  DOILIES,578,2.01,905.59
2010-12,SET OF 72 SKULL PAPER  DOILIES,100,2.13,149.76
2010-12,SET OF 9 BLACK SKULL BALLOONS,72,1.19,66.06
2010-12,SET OF 9 HEART SHAPED BALLOONS,168,1.45,215.04
2010-12,SET OF PICTURE FRAME  STICKERS,19,5.17,76.77
2010-12,SET OF SALT AND PEPPER TOADSTOOLS,204,1.25,255.0
2010-12,SET OF SKULL WALL STICKERS,2,2.95,5.9
2010-12,SET OF THREE VINTAGE GIFT WRAPS,1,1.95,1.95
2010-12,SET/10 BLUE POLKADOT PARTY CANDLES,81,1.63,105.03
2010-12,SET/10 IVORY POLKADOT PARTY CANDLES,61,1.25,76.25
2010-12,SET/10 PINK POLKADOT PARTY CANDLES,492,1.44,564.06
2010-12,SET/10 RED POLKADOT PARTY CANDLES,533,1.56,627.91
2010-12,SET/12 FUNKY FELT FLOWER PEG IN BAG,5,2.63,12.61
2010-12,SET/12 TAPER CANDLES,63,1.4,85.95
2010-12,SET/2 RED RETROSPOT TEA TOWELS ,129,4.7,490.07
2010-12,SET/20 RED RETROSPOT PAPER NAPKINS ,856,1.07,769.84
2010-12,SET/20 STRAWBERRY PAPER NAPKINS ,71,1.6,72.78
2010-12,SET/3 CHRISTMAS DECOUPAGE CANDLES,140,1.93,196.12
2010-12,SET/3 DECOUPAGE STACKING TINS,11,7.19,70.11
2010-12,SET/3 FLORAL GARDEN TOOLS IN BAG,3,7.95,23.85
2010-12,SET/3 OCEAN SCENT CANDLE JEWEL BOX,81,5.92,371.67
2010-12,SET/3 POLKADOT STACKING TINS,10,6.26,54.72
2010-12,SET/3 POT PLANT CANDLES,2,11.02,22.04
2010-12,SET/3 RABBITS FLOWER SKIPPPING ROPE,12,0.85,10.2
2010-12,SET/3 RED GINGHAM ROSE STORAGE BOX,158,4.66,638.82
2010-12,SET/3 ROSE CANDLE IN JEWELLED BOX,98,6.51,498.78
2010-12,SET/3 TALL GLASS CANDLE HOLDER PINK,4,21.24,89.22
2010-12,SET/3 VANILLA SCENTED CANDLE IN BOX,92,5.75,431.08
2010-12,SET/4 2 TONE EGG SHAPE MIXING BOWLS,1,9.95,9.95
2010-12,SET/4 BADGES BALLOON GIRL,50,2.02,67.78
2010-12,SET/4 BADGES BEETLES,7,1.96,9.27
2010-12,SET/4 BADGES CUTE CREATURES,45,1.52,58.83
2010-12,SET/4 BADGES DOGS,15,2.27,27.69
2010-12,SET/4 BIRD MIRROR MAGNETS ,7,2.42,15.96
2010-12,SET/4 BLUE FLOWER CANDLES IN BOWL,19,2.08,34.77
2010-12,SET/4 BUTTERFLY MIRROR MAGNETS,2,2.1,4.2
2010-12,SET/4 COLOURFUL MIXING BOWLS,5,15.16,60.18
2010-12,SET/4 DAISY MIRROR MAGNETS,4,2.73,10.92
2010-12,SET/4 GARDEN ROSE DINNER CANDLE,1,1.65,1.65
2010-12,SET/4 MODERN VINTAGE COTTON NAPKINS,10,2.95,29.5
2010-12,SET/4 RED MINI ROSE CANDLE IN BOWL,46,1.91,81.33
2010-12,SET/4 SKULL BADGES,57,1.77,80.07
2010-12,SET/4 SPRING FLOWER DECORATION,3,2.95,8.85
2010-12,SET/4 WHITE RETRO STORAGE CUBES ,29,48.82,1055.15
2010-12,SET/5 RED RETROSPOT LID GLASS BOWLS,500,3.62,1485.56
2010-12,SET/6 BEAD COASTERS GAUZE BAG GOLD,39,3.43,75.42
2010-12,SET/6 BLACK BIRD T-LIGHT CANDLES,62,2.19,75.24
2010-12,SET/6 COLLAGE PAPER PLATES,2,0.85,1.7
2010-12,SET/6 EAU DE NIL BIRD T-LIGHTS,50,3.04,74.3
2010-12,SET/6 FROG PRINCE T-LIGHT CANDLES,83,3.09,99.25
2010-12,SET/6 GREEN SPRING PAPER CUPS,2,0.65,1.3
2010-12,SET/6 IVORY BIRD T-LIGHT CANDLES,1,2.1,2.1
2010-12,SET/6 PINK  BUTTERFLY T-LIGHTS,488,2.89,902.52
2010-12,SET/6 PINK BIRD T-LIGHT CANDLES,93,2.5,103.78
2010-12,SET/6 POSIES PAPER PLATES,8,0.85,6.8
2010-12,SET/6 PURPLE BUTTERFLY T-LIGHTS,210,3.42,443.15
2010-12,SET/6 RED SPOTTY PAPER CUPS,287,0.82,197.66
2010-12,SET/6 RED SPOTTY PAPER PLATES,583,0.93,442.36
2010-12,SET/6 TURQUOISE BUTTERFLY T-LIGHTS,126,2.82,249.85
2010-12,SET/9 CHRISTMAS T-LIGHTS SCENTED ,24,1.25,30.0
2010-12,SET3 BOOK BOX GREEN GINGHAM FLOWER ,76,4.94,319.66
2010-12,SEWING BOX RETROSPOT DESIGN ,16,19.13,264.29
2010-12,SEWING SUSAN 21 NEEDLE SET,45,1.56,58.5
2010-12,SHOE SHINE BOX ,15,9.95,149.25
2010-12,"SILICON CUBE 25W, BLUE",1,0.42,0.42
2010-12,SILICON STAR BULB  BLUE,1,0.42,0.42
2010-12,SILK PURSE BABUSHKA BLUE,62,3.82,217.96
2010-12,SILK PURSE BABUSHKA PINK,62,4.2,224.8
2010-12,SILK PURSE BABUSHKA RED,106,4.52,406.4
2010-12,SILVER  CANDLEPOT JARDIN ,19,3.75,71.25
2010-12,SILVER APERITIF GLASS,6,2.12,12.72
2010-12,SILVER BLACK ORBIT BRACELET,3,5.51,16.53
2010-12,SILVER BOOK MARK WITH BEADS,17,2.51,42.67
2010-12,SILVER BRACELET W PASTEL FLOWER,5,7.88,39.78
2010-12,SILVER CHRISTMAS TREE BAUBLE STAND ,13,18.62,229.4
2010-12,SILVER DIAMANTE PEN IN GIFT BOX,35,4.31,146.11
2010-12,SILVER DISCO HANDBAG,1,5.95,5.95
2010-12,SILVER DROP EARRINGS WITH FLOWER,1,3.81,3.81
2010-12,SILVER FABRIC MIRROR,41,1.12,37.25
2010-12,SILVER GLASS T-LIGHT SET,19,2.95,56.05
2010-12,SILVER GLITTER FLOWER VOTIVE HOLDER,14,1.88,20.02
2010-12,SILVER HANGING T-LIGHT HOLDER,968,1.99,1501.8
2010-12,SILVER HOOP EARRINGS WITH FLOWER,3,5.95,17.85
2010-12,SILVER JEWELLED MIRROR TRINKET TRAY,4,9.95,39.8
2010-12,SILVER LARIAT BLACK STONE EARRINGS,4,4.24,16.97
2010-12,SILVER LATTICE VANILLA CANDLE POT,9,3.75,33.75
2010-12,SILVER LOOKING MIRROR,3,4.95,14.85
2010-12,SILVER M.O.P ORBIT BRACELET,6,5.37,31.94
2010-12,SILVER M.O.P ORBIT DROP EARRINGS,5,4.24,21.2
2010-12,SILVER MINI TAPE MEASURE ,22,2.27,49.27
2010-12,SILVER MUG BONE CHINA TREE OF LIFE,84,3.54,166.04
2010-12,SILVER OVAL SHAPE TRINKET BOX,2,9.95,19.9
2010-12,SILVER PHOTO FRAME,16,3.51,42.04
2010-12,SILVER PLATE CANDLE BOWL SMALL,49,3.94,165.27
2010-12,SILVER ROCCOCO CHANDELIER,1,29.95,29.95
2010-12,SILVER ROCOCO CANDLE STICK,72,1.95,140.4
2010-12,SILVER STANDING GNOME   ,4,4.25,17.0
2010-12,SILVER T-LIGHT SETTING,3,6.33,18.57
2010-12,SILVER TEDDY BEAR,1,3.75,3.75
2010-12,SILVER VANILLA  FLOWER CANDLE POT,9,3.75,33.75
2010-12,SILVER/AMETHYST DROP EARRINGS LEAF,6,2.96,17.73
2010-12,SILVER/MOP ORBIT NECKLACE,1,9.95,9.95
2010-12,SILVER/NAT SHELL NECKLACE W PENDANT,1,5.51,5.51
2010-12,SILVER/NATURAL SHELL NECKLACE,6,8.5,51.0
2010-12,SINGLE HEART ZINC T-LIGHT HOLDER,364,1.49,404.8
2010-12,SKULL AND CROSSBONES  GARLAND ,34,2.38,68.07
2010-12,SKULL DESIGN TV DINNER TRAY,31,7.38,202.01
2010-12,SKULL LUNCH BOX WITH CUTLERY ,242,4.09,608.89
2010-12,SKULL SHOULDER BAG,137,2.96,391.95
2010-12,SKULLS  DESIGN  COTTON TOTE BAG,19,3.19,53.99
2010-12,SKULLS  STICKERS,77,1.2,73.55
2010-12,SKULLS  WATER TRANSFER TATTOOS ,79,1.35,84.97
2010-12,SKULLS AND CROSSBONES WRAP,175,0.42,73.5
2010-12,SKULLS DESIGN FLANNEL,51,1.57,72.51
2010-12,SKULLS GREETING CARD,98,0.48,42.02
2010-12,SKULLS PARTY BAG + STICKER SET,33,1.65,54.45
2010-12,SKULLS SQUARE TISSUE BOX,16,1.92,30.08
2010-12,SKULLS STORAGE BOX LARGE,3,5.21,15.63
2010-12,SKULLS STORAGE BOX SMALL,12,3.09,34.08
2010-12,SKULLS TAPE,271,0.58,64.34
2010-12,SKULLS WRITING SET ,51,2.51,134.6
2010-12,SLATE TILE NATURAL HANGING,35,2.22,68.01
2010-12,SLEEPING CAT ERASERS,615,0.32,122.37
2010-12,SMALL CAMPHOR WOOD FIELD  MUSHROOM,11,2.5,24.99
2010-12,SMALL CHINESE STYLE SCISSOR,1029,0.4,332.18
2010-12,SMALL CHOCOLATES PINK BOWL,97,1.33,108.49
2010-12,SMALL CHUNKY GLASS ROMAN  BOWL,1,5.91,5.91
2010-12,SMALL DOLLY MIX DESIGN ORANGE BOWL,137,1.97,158.63
2010-12,SMALL FOLDING SCISSOR(POINTED EDGE),14,0.25,3.5
2010-12,SMALL FOLKART STAR CHRISTMAS DEC,147,2.13,91.14
2010-12,SMALL GLASS HEART TRINKET POT,541,3.06,1387.06
2010-12,SMALL GLASS SUNDAE DISH CLEAR,254,1.42,167.1
2010-12,SMALL HAMMERED SILVER CANDLEPOT ,40,3.37,126.88
2010-12,SMALL HANGING GLASS+ZINC LANTERN,12,1.45,17.4
2010-12,SMALL HANGING IVORY/RED WOOD BIRD,303,0.61,141.02
2010-12,SMALL HEART FLOWERS HOOK ,128,1.14,117.71
2010-12,SMALL HEART MEASURING SPOONS,286,1.34,292.51
2010-12,SMALL KITCHEN FLOWER POTS PLAQUE,1,6.95,6.95
2010-12,SMALL LICORICE DES PINK BOWL,114,2.01,140.98
2010-12,SMALL MARSHMALLOWS PINK BOWL,110,1.74,119.78
2010-12,SMALL MEDINA STAMPED METAL BOWL ,75,1.4,68.73
2010-12,SMALL PINK GLASS SUNDAE DISH,113,1.6,62.16
2010-12,SMALL PINK MAGIC CHRISTMAS TREE,61,1.08,56.71
2010-12,SMALL POLKADOT CHOCOLATE GIFT BAG ,137,1.09,120.5
2010-12,"SMALL POP BOX,FUNKY MONKEY",8,2.09,14.57
2010-12,SMALL POPCORN HOLDER,2737,1.1,2629.94
2010-12,SMALL PURPLE BABUSHKA NOTEBOOK ,109,1.18,109.66
2010-12,SMALL RED BABUSHKA NOTEBOOK ,116,1.23,127.75
2010-12,SMALL RED RETROSPOT MUG IN BOX ,46,3.75,172.5
2010-12,SMALL RED RETROSPOT WINDMILL,34,1.97,52.58
2010-12,SMALL REGAL  SILVER CANDLEPOT ,31,3.54,94.41
2010-12,SMALL ROUND CUT GLASS CANDLESTICK,6,10.17,61.02
2010-12,SMALL SILVER FLOWER CANDLE POT,12,2.95,35.4
2010-12,SMALL SILVER TRELLIS CANDLEPOT,26,3.94,82.62
2010-12,SMALL SKULL WINDMILL,1,1.25,1.25
2010-12,SMALL SQUARE CUT GLASS CANDLESTICK,15,6.69,95.13
2010-12,SMALL STRIPES CHOCOLATE GIFT BAG ,44,0.85,37.4
2010-12,SMALL TALL CAMPHOR WOOD TOADSTOOL,6,1.65,9.9
2010-12,SMALL WHITE RETROSPOT MUG IN BOX ,23,4.52,93.99
2010-12,SMALL YELLOW BABUSHKA NOTEBOOK ,84,1.1,85.17
2010-12,SMALLFOLKART BAUBLE CHRISTMAS DEC,455,1.38,257.3
2010-12,SMOKEY GREY COLOUR D.O.F. GLASS,4,0.65,2.6
2010-12,SNOWFLAKE PORTABLE TABLE LIGHT ,44,3.41,141.64
2010-12,SNOWSTORM PHOTO FRAME FRIDGE MAGNET,68,1.07,61.04
2010-12,SOAP DISH BROCANTE,94,3.32,283.22
2010-12,SOFT PINK ROSE TOWEL ,34,3.44,119.4
2010-12,SOLDIERS EGG CUP ,1073,1.54,1384.93
2010-12,SOMBRERO ,405,1.81,509.75
2010-12,SPACE CADET BLACK,15,1.42,19.21
2010-12,SPACE CADET RED,17,1.18,20.05
2010-12,SPACE CADET WHITE,22,1.15,25.9
2010-12,SPACE FROG,28,1.83,40.5
2010-12,SPACE OWL,27,1.77,34.79
2010-12,SPACEBOY BIRTHDAY CARD,361,0.59,162.37
2010-12,SPACEBOY CHILDRENS EGG CUP,136,1.69,187.64
2010-12,SPACEBOY GIFT WRAP,175,0.42,73.5
2010-12,SPACEBOY LUNCH BOX ,893,2.44,1671.75
2010-12,SPACEBOY TV DINNER TRAY,54,6.95,316.8
2010-12,SPOTS ON RED BOOKCOVER TAPE,4,0.42,1.68
2010-12,SPOTTY PINK DUCK DOORSTOP,28,7.48,203.4
2010-12,SPRIG LAVENDER ARTIFICIAL FLOWER,144,0.42,60.48
2010-12,SQUARE CHERRY BLOSSOM CABINET,14,5.28,71.3
2010-12,SQUARE FLOOR CUSHION VINTAGE RED,3,7.95,23.85
2010-12,SQUARECUSHION COVER PINK UNION FLAG,30,8.11,222.96
2010-12,ST TROPEZ NECKLACE,4,5.09,20.36
2010-12,STAR  T-LIGHT HOLDER ,74,2.27,133.31
2010-12,STAR DECORATION PAINTED ZINC ,114,0.88,82.92
2010-12,STAR DECORATION RUSTIC,390,0.63,181.43
2010-12,STAR PORTABLE TABLE LIGHT ,182,3.7,516.26
2010-12,STAR WOODEN CHRISTMAS DECORATION,288,1.24,319.32
2010-12,STARFISH SOAP DISH,1,5.06,5.06
2010-12,STARS GIFT TAPE ,314,0.63,111.81
2010-12,STRAWBERRIES  DESIGN FLANNEL ,45,1.59,64.17
2010-12,STRAWBERRY   PICNIC BAG,15,4.27,56.09
2010-12,STRAWBERRY BATH SPONGE ,301,1.88,430.43
2010-12,STRAWBERRY CERAMIC TRINKET BOX,1538,1.65,2194.56
2010-12,STRAWBERRY CHARLOTTE BAG,430,1.46,812.28
2010-12,STRAWBERRY DREAM CHILDS UMBRELLA,5,5.36,26.81
2010-12,STRAWBERRY FAIRY CAKE TEAPOT,105,7.56,600.07
2010-12,STRAWBERRY HONEYCOMB  GARLAND ,323,1.32,244.95
2010-12,STRAWBERRY LUNCH BOX WITH CUTLERY,180,3.73,499.77
2010-12,STRAWBERRY RAFFIA FOOD COVER,17,4.72,79.23
2010-12,STRAWBERRY SHOPPER BAG,145,2.11,205.76
2010-12,STRAWBRY SCENTED VOTIVE CANDLE,72,0.25,17.04
2010-12,"STRING OF 8 BUTTERFLIES,PINK",10,1.65,16.5
2010-12,STRING OF STARS CARD HOLDER,20,4.13,64.92
2010-12,STRIPES DESIGN MONKEY DOLL,3,2.55,7.65
2010-12,STRIPES DESIGN TEDDY,7,2.55,17.85
2010-12,STRIPEY CHOCOLATE NESTING BOXES,11,5.42,47.25
2010-12,STRIPY DESIGN SHOWER CAP,10,1.25,12.5
2010-12,SUKI  SHOULDER BAG,278,3.21,636.19
2010-12,SUMMER BUTTERFLIES BAG CHARM,18,2.51,45.18
2010-12,SUMMER DAISIES BAG CHARM,10,2.51,25.14
2010-12,SUMMER FUN DESIGN SHOWER CAP,7,1.25,8.75
2010-12,SUNFLOWER DECORATIVE PARASOL,15,6.21,72.81
2010-12,SUNJAR LED NIGHT NIGHT LIGHT,3,16.13,48.39
2010-12,SUNSET CHECK HAMMOCK,10,10.96,97.56
2010-12,SUNSET COLOUR CHUNKY KNITTED THROW,1,11.02,11.02
2010-12,SWALLOW SQUARE TISSUE BOX,20,1.61,27.52
2010-12,SWALLOW WOODEN CHRISTMAS DECORATION,296,1.09,279.95
2010-12,SWALLOWS GREETING CARD,360,0.42,146.88
2010-12,SWEET PUDDING STICKER SHEET,29,1.2,27.08
2010-12,SWEETHEART CAKESTAND 3 TIER,83,11.83,857.09
2010-12,SWEETHEART CARRY-ALL BASKET,3,16.98,50.94
2010-12,SWEETHEART CERAMIC TRINKET BOX,695,1.68,938.59
2010-12,SWEETHEART CREAM STEEL TABLE RECT,1,19.95,19.95
2010-12,SWEETHEART RECIPE BOOK STAND,182,9.3,1422.82
2010-12,SWEETHEART WIRE FRUIT BOWL,1,8.5,8.5
2010-12,SWEETHEART WIRE MAGAZINE RACK,30,9.39,271.22
2010-12,SWEETHEART WIRE WALL TIDY,11,12.77,132.01
2010-12,SWEETIES  STICKERS,82,1.3,76.99
2010-12,SWIRLY CIRCULAR RUBBERS IN BAG,7,0.5,4.2
2010-12,SWISS CHALET TREE DECORATION ,154,1.05,139.07
2010-12,"SWISS ROLL TOWEL, CHOCOLATE  SPOTS",205,3.2,389.72
